Label	Weight	Text
emailSkill	1	send an email to partone_parttwo@microsoft.com
emailSkill	1	read my email to me
emailSkill	1	send an email marked with a bang to amy
emailSkill	1	never mind cancel the mail
emailSkill	1	find emails from mom
emailSkill	1	show me next from mary
emailSkill	1	read the latest email from steve lip
emailSkill	1	send a new email about the problem solving to andrea, angela, and ron
emailSkill	1	enumerate the emails with algroithm
emailSkill	1	email her the message "fine, ok"
emailSkill	1	show emails with "credit card"
emailSkill	1	forward to thomas please
emailSkill	1	i want to add a flag
emailSkill	1	send alexander a red bang email
emailSkill	1	don 't send the email
emailSkill	1	send the response with i've already know
emailSkill	1	send email to a and tian
emailSkill	1	show next email
emailSkill	1	what is the lastest email i received from dad
emailSkill	1	read today's mail
emailSkill	1	forward email
emailSkill	1	show my unread mails
emailSkill	1	read my new email
emailSkill	1	respond to the email by saying i am busy today
emailSkill	1	any new message now
emailSkill	1	flag it
emailSkill	1	don't send
emailSkill	1	add some more
emailSkill	1	show the next messages
emailSkill	1	what was the last email i got from steve edwards
emailSkill	1	next unread email
emailSkill	1	yes that's right
emailSkill	1	don't send that email
emailSkill	1	cancel email
emailSkill	1	insert more lines for me please
emailSkill	1	read my emails
emailSkill	1	read me the email sent on thanksgiving day
emailSkill	1	send a new email to partonepartwopartthree@yahoo.com
emailSkill	1	read the email
emailSkill	1	find an email about new year's planning
emailSkill	1	remove it from my inbox
emailSkill	1	read my most recent email
emailSkill	1	cancel this email
emailSkill	1	read emails from clay
emailSkill	1	mark email for follow up and send to arthur
emailSkill	1	forward this email to patricia
emailSkill	1	reply to edward
emailSkill	1	read emails
emailSkill	1	add a flag to the last email
emailSkill	1	okay, send it now
emailSkill	1	please forward this email to partoneparttwo@outlook.com
emailSkill	1	send email marked priority to yun-sim and yi
emailSkill	1	read my last email
emailSkill	1	start a new email saying lets go to the park
emailSkill	1	add more to roy 's email
emailSkill	1	please forward this message
emailSkill	1	cancel this message
emailSkill	1	show me the newest email
emailSkill	1	delete all emails from tom
emailSkill	1	respond i ' m sick i can ' t do it
emailSkill	1	add more details to it
emailSkill	1	do i have new email
emailSkill	1	add more text please
emailSkill	1	okay
emailSkill	1	the next email
emailSkill	1	read my email from baby
emailSkill	1	read me the email on thanksgiving day
emailSkill	1	reply yee ha
emailSkill	1	list the emails contain funny picture
emailSkill	1	read email to me
emailSkill	1	read darren's mail on the movie
emailSkill	1	i need to add something else to my email to cheryl
emailSkill	1	send an email to jimmy klein saying this is the message about weekend plans
emailSkill	1	i need to add more to the email
emailSkill	1	did i get emails from tom
emailSkill	1	show me emails from girlfriend
emailSkill	1	can you tell me the last email i received
emailSkill	1	show the next email from my boss
emailSkill	1	delete the email from my hotmail account
emailSkill	1	write email
emailSkill	1	read me jessica's email on dress code for the party
emailSkill	1	delete the red ones
emailSkill	1	whether i have new email
emailSkill	1	could you please check my inbox
emailSkill	1	show the important emails in my inbox
emailSkill	1	send my payment visio diagram to ronald
emailSkill	1	respond to nathan
emailSkill	1	read my email please
emailSkill	1	show me the next five mails
emailSkill	1	forward this email to joseph
emailSkill	1	attach file
emailSkill	1	show the previous email from my mentor
emailSkill	1	delete the second mail
emailSkill	1	email my presentation
emailSkill	1	read me the email on apple
emailSkill	1	append an attachment to this email
emailSkill	1	what eric watson just said
emailSkill	1	read my recent email to me
emailSkill	1	email to partoneparttwo@gmail.com
emailSkill	1	can i add more to the email
emailSkill	1	forward message to girlfriend
emailSkill	1	go to the last one
emailSkill	1	read me the recent email titled abcd from jessica
emailSkill	1	send a new email about the hockey tournament to marie jane, joseph , and john
emailSkill	1	forward to alan tonight
emailSkill	1	send an email for me
emailSkill	1	please forward this email to partoneparttwo@163.com
emailSkill	1	who emailed me just now
emailSkill	1	forget about the email
emailSkill	1	does my outlook have new email
emailSkill	1	read please
emailSkill	1	read google mail
emailSkill	1	stop message
emailSkill	1	are there any unread messages? show next
emailSkill	1	send an email to nathan with a red bang
emailSkill	1	send billy an email with a red bang
emailSkill	1	i would like to add more to the email message
emailSkill	1	add more
emailSkill	1	add flag
l_general	1	sure is
l_general	1	what about next one
l_general	1	go previously
l_general	1	nothing much
l_general	1	choose no.2
l_general	1	opt for the last one
l_general	1	what after that
l_general	1	what before that
l_general	1	alright
l_general	1	perfect
l_general	1	choose the upper right one
l_general	1	i reject
l_general	1	i want to choose the first one
l_general	1	i want neither of them
l_general	1	just cancel it
l_general	1	i want to choose second one
l_general	1	read what is currently on the screen to me
l_general	1	i want to choose the lower choice
l_general	1	back to the last one
l_general	1	no never mind
l_general	1	i want the left
l_general	1	i like upper right
l_general	1	never mind cancel
l_general	1	sign out
l_general	1	read file aloud
l_general	1	read this page
l_general	1	what is the previous
l_general	1	select no.5
l_general	1	display more
l_general	1	come on stop
l_general	1	don't do that anymore
l_general	1	no no no
l_general	1	opt for first one
l_general	1	no leave it
l_general	1	show the next two options
l_general	1	god shut up
